departamento,monto,empresa_1,empresa_2,empresa_3,empresa_4,empresa_5
ANCASH,3564518.36,20542072637,20445629015,,,
ANCASH,9921149.97,20481871027,20531737645,,,
ANCASH,4384514.39,20445549411,20477160710,,,
ANCASH,1527437.78,20486554160,,,,
ANCASH,8354536.59,20544771478,20445629015,20445575411,,
ANCASH,4118614.64,20477160710,20445695310,,,
ANCASH,4820307.59,20530990681,20534165278,,,
ANCASH,1799670.60,20603967055,,,,
ANCASH,9652589.46,20542169550,20542132982,,,
ANCASH,3231949.41,20445292541,20605408631,,,
ANCASH,5710071.80,20407987650,20266458089,20545512662,,
ANCASH,4431635.80,20541706454,20445575411,20544771478,,
ANCASH,7773293.80,20489528283,20529202998,20445292541,20569209782,
ANCASH,14999477.44,20600683650,,,,
ANCASH,2732794.92,20541674820,20495675611,20477160710,,
ANCASH,1787178.02,20531897413,20541616382,20541666487,,
ANCASH,1002355.67,20530990681,20602578501,,,
ANCASH,3621735.14,20227233321,20505621159,,,
ANCASH,808285.53,20604091382,20534489685,20548656606,,
ANCASH,2380766.16,20534013923,20571395364,,,
ANCASH,6484238.63,20517623394,20601293618,,,
ANCASH,4384514.39,20541776584,20495675611,,,
ANCASH,910311.47,20571395364,20600392892,,,
ANCASH,2943202.55,20602794769,20602214959,20483795590,,
ANCASH,6958331.77,20488252578,20408018804,,,
ANCASH,2019206.44,20445653234,20445464261,,,
ANCASH,5720068.25,20542022290,20533788891,,,
ANCASH,4910116.55,20544771478,,,,
ANCASH,2967488.15,20172889540,20495675611,,,
ANCASH,5754980.78,20445328597,20531084072,,,
ANCASH,808285.53,20445572668,,,,
ANCASH,1864605.99,20531089627,20603063326,20571160995,,
ANCASH,3370980.03,20531065019,20604332886,20530954022,,
APURIMAC,11145758.08,20527479704,,,,
APURIMAC,11145758.08,20494740673,,,,
APURIMAC,8301311.17,20535757811,20600223837,,,
APURIMAC,4282005.22,20495675611,20396681651,,,
APURIMAC,16235193.80,10238862570,,,,
CAJAMARCA,"11,145,758.08",20527479704,,,,
CAJAMARCA,"11,145,758.08",20494740673,,,,
CAJAMARCA,"8,301,311.17",20535757811,20600223837,,,
CAJAMARCA,"4,282,005.22",20495675611,20396681651,,,
CAJAMARCA,"16,235,193.80",10238862570,,,,
CUSCO,"2,761,361.18",20210651706,,,,
CUSCO,"2,740,707.98",10004912557,20528036164,,,
CUSCO,"3,368,482.13",20399836213,,,,
CUSCO,"2,587,097.67",20527739030,20602318193,,,
CUSCO,"4,360,512.67",10475851531,20452677921,,,
HUANCAVELICA,"3,839,067.15",10410713506,20568960662,,,
HUANCAVELICA,"2,314,098.43",20486974886,20543764303,,,
HUANCAVELICA,"16,499,430.26",20486373297,,,,
HUANCAVELICA,"211,603.87",20568459505,20486354829,,,
HUANCAVELICA,"2,910,040.28",20486136830,20486604876,,,
HUANCAVELICA,"1,773,814.21",20568339607,20487181910,,,
HUANCAVELICA,"4,656,362.26",20486572061,,,,
HUANCAVELICA,"2,294,726.38",20541578430,20494951020,,,
HUANCAVELICA,"83,233.73",20486354829,20568459505,,,
HUANCAVELICA,"84,200.90",20543060918,20603094302,,,
HUANCAVELICA,"15,619,124.47",20494951020,,,,
HUANCAVELICA,"35,776,060.53",20487110141,20486290910,,,
HUANCAVELICA,"2,845,180.34",20568394888,20568355041,,,
HUANCAVELICA,"4,420,067.39",20541517139,20486103079,,,
HUANCAVELICA,"4,601,705.94",20568112220,20600223837,,,
HUANCAVELICA,"2,280,615.86",20486625954,20600659503,,,
HUANCAVELICA,"2,433,234.76",20494341973,,,,
HUANCAVELICA,"2,451,311.42",20568355041,20494341973,,,
HUANCAVELICA,"3,005,146.01",20568275013,20543764303,,,
HUANCAVELICA,"43,257,711.99",20548123888,20601169941,,,
JUNIN,"80,688,434.01",20486774445,20351575574,,,
JUNIN,"1,762,984.79",20494257590,20573907788,,,
JUNIN,"34,034,860.25",20511317038,20110614609,,,
JUNIN,"81,182,490.96",20351575574,20601317738,20600243226,,
JUNIN,"149,500,065.89",20489575362,20548123888,20452526809,,
JUNIN,"112,225,082.87",20536715518,20563373009,,,
JUNIN,"1,404,741.36",20402277689,20600540581,,,
JUNIN,"1,681,600.25",20487181910,20486988755,,,
JUNIN,"1,762,984.79",20398613563,,,,
JUNIN,"3,856,143.73",20568986386,20486572061,,,
JUNIN,"1,625,922.95",20486990229,20603016743,20602591701,20568838352,
JUNIN,"3,503,594.40",20600021045,20487274683,,,
LAMBAYEQUE,"2,981,568.41",20539023323,,,,
LAMBAYEQUE,"1,460,747.30",20326387593,10098726701,,,
